Date,Adj Close,
05-09-2012,17313.34,17254.40
06-09-2012,17346.27,17265.47
07-09-2012,17683.73,17280.78
08-09-2012,17683.73,17296.90
10-09-2012,17766.78,17311.25
11-09-2012,17852.95,17326.69
12-09-2012,18000.03,17347.68
13-09-2012,18021.16,17364.68
14-09-2012,18464.27,17392.59
17-09-2012,18542.31,17419.30
18-09-2012,18496.01,17444.69
20-09-2012,18349.25,17465.59
21-09-2012,18752.83,17493.84
24-09-2012,18673.34,17522.28
25-09-2012,18694.41,17550.65
26-09-2012,18632.17,17577.07
27-09-2012,18579.50,17602.29
28-09-2012,18762.74,17623.45
01-10-2012,18823.91,17646.06
03-10-2012,18869.69,17668.99
04-10-2012,19058.15,17694.31
05-10-2012,18938.46,17716.53
08-10-2012,18708.98,17735.38
09-10-2012,18793.36,17757.63
10-10-2012,18631.10,17773.70
11-10-2012,18804.75,17794.58
12-10-2012,18675.18,17817.48
15-10-2012,18713.55,17841.29
16-10-2012,18577.70,17864.69
17-10-2012,18610.77,17888.59
18-10-2012,18791.93,17914.10
19-10-2012,18682.31,17936.37
22-10-2012,18793.44,17962.33
23-10-2012,18710.02,17991.42
25-10-2012,18758.63,18020.63
29-10-2012,18635.82,18049.04
30-10-2012,18430.85,18077.47
31-10-2012,18505.38,18103.92
01-11-2012,18561.70,18126.42
02-11-2012,18755.45,18150.54
05-11-2012,18762.87,18174.44
06-11-2012,18817.38,18199.72
07-11-2012,18902.41,18226.78
08-11-2012,18846.26,18249.53
09-11-2012,18683.68,18266.70
11-11-2012,18683.68,18283.89
12-11-2012,18670.34,18301.50
15-11-2012,18471.37,18316.01
16-11-2012,18309.37,18326.74
19-11-2012,18339.00,18336.43
20-11-2012,18329.32,18347.10
21-11-2012,18460.38,18359.31
22-11-2012,18517.34,18369.34
23-11-2012,18506.57,18379.81
26-11-2012,18537.01,18390.72
27-11-2012,18842.08,18407.52
29-11-2012,19170.91,18431.21
30-11-2012,19339.90,18458.32
03-12-2012,19305.32,18487.12
04-12-2012,19348.12,18515.80
05-12-2012,19391.86,18547.72
06-12-2012,19486.80,18581.09
07-12-2012,19424.10,18612.57
10-12-2012,19409.69,18645.85
11-12-2012,19387.14,18678.24
12-12-2012,19355.26,18704.77
13-12-2012,19229.26,18729.31
14-12-2012,19317.25,18753.92
17-12-2012,19244.42,18776.00
18-12-2012,19364.75,18797.67
19-12-2012,19476.00,18820.76
20-12-2012,19453.92,18836.47
21-12-2012,19242.00,18847.57
24-12-2012,19255.09,18859.62
26-12-2012,19417.46,18876.58
27-12-2012,19323.80,18885.64
28-12-2012,19444.84,18897.89
31-12-2012,19426.71,18909.51
01-01-2013,19426.71,18922.12
02-01-2013,19714.24,18940.13
03-01-2013,19764.78,18956.04
04-01-2013,19784.08,18971.28
07-01-2013,19691.42,18984.32
08-01-2013,19742.52,18995.19
09-01-2013,19666.59,19006.74
10-01-2013,19663.55,19021.90
11-01-2013,19663.64,19035.71
14-01-2013,19906.41,19055.95
15-01-2013,19986.82,19074.72
16-01-2013,19817.63,19092.85
17-01-2013,19964.03,19112.70
18-01-2013,20039.04,19135.90
21-01-2013,20101.82,19159.56
22-01-2013,19981.57,19178.45
23-01-2013,20026.61,19199.78
24-01-2013,19923.78,19217.73
25-01-2013,20103.53,19239.85
28-01-2013,20103.35,19261.19
29-01-2013,19990.90,19282.70
30-01-2013,20005.00,19307.69
31-01-2013,19894.98,19329.74
01-02-2013,19781.19,19349.10
04-02-2013,19751.19,19364.91
05-02-2013,19659.82,19379.14
06-02-2013,19639.72,19392.20
07-02-2013,19580.32,19402.96
08-02-2013,19484.77,19413.09
11-02-2013,19460.57,19425.42
12-02-2013,19561.04,19439.35
13-02-2013,19608.08,19454.23
14-02-2013,19497.18,19470.52
15-02-2013,19468.15,19488.91
18-02-2013,19501.08,19507.36
19-02-2013,19635.72,19528.09
20-02-2013,19642.75,19546.86
21-02-2013,19325.36,19559.69
22-02-2013,19317.01,19572.55
25-02-2013,19331.69,19585.16
26-02-2013,19015.14,19587.91
27-02-2013,19152.41,19587.62
28-02-2013,18861.54,19580.02
01-03-2013,18918.52,19573.88
04-03-2013,18877.96,19566.42
05-03-2013,19143.17,19562.47
06-03-2013,19252.61,19558.76
07-03-2013,19413.54,19558.59
08-03-2013,19683.23,19562.93
11-03-2013,19646.21,19567.04
12-03-2013,19564.92,19570.37
13-03-2013,19362.55,19572.49
14-03-2013,19570.44,19576.51
15-03-2013,19427.56,19579.41
18-03-2013,19293.20,19578.28
19-03-2013,19008.10,19570.85
20-03-2013,18884.19,19561.81
21-03-2013,18792.87,19554.68
22-03-2013,18735.60,19546.43
25-03-2013,18681.42,19534.75
26-03-2013,18704.53,19524.92
28-03-2013,18835.77,19515.25
01-04-2013,18864.75,19506.33
02-04-2013,19040.95,19500.21
03-04-2013,18801.64,19485.72
04-04-2013,18509.70,19465.80
05-04-2013,18450.23,19444.63
08-04-2013,18437.78,19424.73
09-04-2013,18226.48,19400.66
10-04-2013,18414.45,19380.79
11-04-2013,18542.20,19362.99
12-04-2013,18242.56,19340.43
15-04-2013,18357.80,19315.85
16-04-2013,18744.93,19296.14
17-04-2013,18731.16,19278.89
18-04-2013,19016.46,19263.85
22-04-2013,19169.83,19250.06
23-04-2013,19179.36,19235.41
25-04-2013,19406.85,19226.29
26-04-2013,19286.72,19214.55
29-04-2013,19387.50,19206.04
30-04-2013,19504.18,19196.52
02-05-2013,19735.77,19190.69
03-05-2013,19575.64,19184.10
06-05-2013,19673.64,19178.84
07-05-2013,19888.95,19178.74
08-05-2013,19990.18,19182.06
09-05-2013,19939.04,19185.04
10-05-2013,20082.62,19191.75
13-05-2013,19691.67,19192.58
14-05-2013,19722.29,19194.83
15-05-2013,20212.96,19206.39
16-05-2013,20247.33,19218.88
17-05-2013,20286.12,19230.38
20-05-2013,20223.98,19240.16
21-05-2013,20111.61,19249.91
22-05-2013,20062.24,19259.34
23-05-2013,19674.33,19262.09
24-05-2013,19704.33,19263.18
27-05-2013,20030.77,19269.34
28-05-2013,20160.82,19282.60
29-05-2013,20147.64,19295.79
30-05-2013,20215.40,19309.81
31-05-2013,19760.30,19321.64
03-06-2013,19610.48,19328.91
04-06-2013,19545.78,19339.77
05-06-2013,19568.22,19350.09
06-06-2013,19519.49,19360.27
07-06-2013,19429.23,19364.81
10-06-2013,19441.07,19367.80
11-06-2013,19143.00,19363.51
12-06-2013,19041.13,19353.32
13-06-2013,18827.16,19340.32
14-06-2013,19177.93,19334.17
17-06-2013,19325.87,19333.59
18-06-2013,19223.28,19328.08
19-06-2013,19245.70,19325.19
20-06-2013,18719.29,19316.08
21-06-2013,18774.24,19312.37
24-06-2013,18540.89,19306.92
25-06-2013,18629.15,19304.32
26-06-2013,18552.12,19301.41
27-06-2013,18875.95,19304.50
28-06-2013,19395.81,19315.47
01-07-2013,19577.39,19327.24
02-07-2013,19463.82,19336.75
03-07-2013,19177.76,19338.92
04-07-2013,19410.84,19348.59
05-07-2013,19495.82,19364.25
08-07-2013,19324.77,19378.13
09-07-2013,19439.48,19394.03
10-07-2013,19294.12,19410.97
11-07-2013,19676.06,19431.00
12-07-2013,19958.47,19453.48
15-07-2013,20034.48,19481.92
16-07-2013,19851.23,19505.63
17-07-2013,19948.73,19524.74
18-07-2013,20128.41,19546.92
19-07-2013,20149.85,19564.91
22-07-2013,20159.12,19580.61
23-07-2013,20302.13,19598.43
24-07-2013,20090.68,19609.29
25-07-2013,19804.76,19617.51
26-07-2013,19748.19,19623.23
29-07-2013,19593.28,19624.65
30-07-2013,19348.34,19618.50
31-07-2013,19345.70,19614.85
01-08-2013,19317.19,19609.19
02-08-2013,19164.02,19597.68
05-08-2013,19182.26,19584.86
06-08-2013,18733.04,19565.72
07-08-2013,18664.88,19543.21
08-08-2013,18789.34,19528.89
12-08-2013,18946.98,19516.58
13-08-2013,19229.84,19500.98
14-08-2013,19367.59,19487.01
16-08-2013,18598.18,19460.22
19-08-2013,18307.52,19429.80
20-08-2013,18246.04,19400.19
21-08-2013,17905.91,19365.96
22-08-2013,18312.94,19344.35
23-08-2013,18519.44,19325.54
26-08-2013,18558.13,19302.17
27-08-2013,17968.08,19267.36
28-08-2013,17996.15,19233.21
29-08-2013,18401.04,19204.41
30-08-2013,18619.72,19186.31
02-09-2013,18886.13,19174.81
03-09-2013,18234.66,19154.00
04-09-2013,18567.55,19138.12
05-09-2013,18979.76,19129.55
06-09-2013,19270.06,19127.02
10-09-2013,19997.10,19135.85
11-09-2013,19997.45,19149.41
12-09-2013,19781.88,19161.17
13-09-2013,19732.76,19175.54
16-09-2013,19742.47,19184.51
17-09-2013,19804.03,19192.10
18-09-2013,19962.16,19203.82
19-09-2013,20646.64,19226.06
20-09-2013,20263.71,19250.58
23-09-2013,19900.96,19268.46
24-09-2013,19920.21,19290.35
25-09-2013,19856.24,19309.83
26-09-2013,19893.85,19331.13
27-09-2013,19727.27,19344.64
30-09-2013,19379.77,19344.39
01-10-2013,19517.15,19343.43
03-10-2013,19902.07,19350.39
04-10-2013,19915.95,19362.10
07-10-2013,19895.10,19369.79
08-10-2013,19983.61,19377.53
09-10-2013,20249.26,19392.21
10-10-2013,20272.91,19405.44
11-10-2013,20528.59,19425.03
14-10-2013,20607.54,19439.82
15-10-2013,20547.62,19449.17
17-10-2013,20415.51,19455.22
18-10-2013,20882.89,19471.59
21-10-2013,20893.89,19486.60
22-10-2013,20864.97,19498.29
23-10-2013,20767.88,19508.10
24-10-2013,20725.43,19517.09
